"Подруга погибшей биатлонистки рассказала о ее лечении",http://lenta.ru/news/2015/02/22/friends/,"
    Подруга биатлонистки Алины Якимкиной, скоропостижно скончавшейся во время гонки на этапе Кубка России в Тюмени, рассказала, что ранее девушка проходила курс лечения. По словам министра по физической культуре, спорту и молодежной политике Удмуртии Игоря Краснова, смерть не могла быть вызвана допингом или лекарствами.
  ","Sun, 22 Feb 2015 13:08:00 +0300"
"В батальоне «Донбасс» сообщили о рапорте Семенченко об отставке",http://lenta.ru/news/2015/02/22/semenchenko/,"
    Семен Семенченко подал рапорт об отставке с должности командира батальона «Донбасс». «Совмещать пост народного депутата Украины и командира военного подразделения оказалось крайне сложной задачей», — говорится в заявлении, размещенном на странице батальона в Facebook.
  ","Sun, 22 Feb 2015 12:57:00 +0300"
"«Калашников» представил заводской вариант модернизации автомата",http://lenta.ru/news/2015/02/22/newak/,"
    Концерн «Калашников» продемонстрировал на выставке IDEX-2015 в Абу-Даби заводской вариант модернизации автоматов АК «сотой» серии. Оружие оснащено прикладами изменяемой длины с регулируемой высотой щеки, доработанной крышкой ствольной коробки с двумя точками крепления и другим оборудованием.
  ","Sun, 22 Feb 2015 12:30:00 +0300"
"Депутат Думы предложил разместить правительство Украины в изгнании в Донбассе",http://lenta.ru/news/2015/02/22/deputatus/,"
    Депутат Госдумы от «Справедливой России» Михаил Емельянов заявил, что правительство Украины в изгнании должно  разместиться в Донбассе. «Ополченцы контролируют уже довольно обширную территорию, поэтому правительство может действовать и на их территории», — отметил Емельянов.
  ","Sun, 22 Feb 2015 12:25:00 +0300"
"Обладатель Кубка Кости Цзю погиб под Дебальцево",http://lenta.ru/news/2015/02/22/mushtranov/,"
    Мастер спорта по боксу Федор Муштранов погиб под Дебальцево. Подразделение воевавшего на стороне ополченцев 32-летнего спортсмена попало под обстрел в районе селения Логвиново. Другие обстоятельства смерти не сообщаются. В 2008 году боксер стал обладателем Кубка Кости Цзю.
  ","Sun, 22 Feb 2015 11:26:00 +0300"
"В  ДНР рассказали о сроках отвода тяжелого вооружения",http://lenta.ru/news/2015/02/22/basurin/,"
    Ополчение Донбасса планирует в течение двух недель отвести тяжелое вооружение от линии соприкосновения. «Сегодня ночью план был подписан. Сегодняшний день определен как день ""Д"". То есть дается две недели на отвод тяжелых вооружений», — сказал представитель Минобороны ДНР Эдуард Басурин.
  ","Sun, 22 Feb 2015 11:19:00 +0300"
"«Калашников» займется производством беспилотников",http://lenta.ru/news/2015/02/22/kalashnikov/,"
    Концерн «Калашников», входящий в госкорпорацию «Ростех», договорился о приобретении контрольного пакета акций российского разработчика и производителя беспилотников ZALA Aero. Концерн планирует наладить в России выпуск разведывательных беспилотных летательных аппаратов разных типов.
  ","Sun, 22 Feb 2015 11:01:00 +0300"
"Головкин повторил рекорд Тайсона",http://lenta.ru/news/2015/02/22/golovkin/,"
    Казахстанский боксер Геннадий Головкин нокаутировал британца Мартина Мюррея в поединке за титулы чемпиона мира по версии WBA и «временного» чемпиона по версии WBC в весовой категории до 72,6 килограмма. Зафиксировав 19-й нокаут подряд, казахстанец повторил рекорд Майка Тайсона.
  ","Sun, 22 Feb 2015 10:48:00 +0300"
"Кобзон устроит два концерта жителям Луганска",http://lenta.ru/news/2015/02/22/kobzon/,"
    Депутат Госдумы и певец Иосиф Кобзон в воскресенье, 22 февраля, даст в Луганске два концерта, посвященных Дню защитника Отечества. Одно выступление артист проведет для гражданских лиц, другое — для военных. Ранее Кобзон посещал Луганск 28 октября. Тогда он встретился с ополченцами и исполнил свои песни в местном ДК. <br />
  ","Sun, 22 Feb 2015 10:22:00 +0300"
"Россия представит на выставке в Абу-Даби танк Т-90 для стран Персидского залива",http://lenta.ru/news/2015/02/22/t90/,"
    «Уралвагонзавод» представит на международной оружейной выставке IDEX-2015, которая открывается 22 февраля в Абу-Даби, танк Т-90 специальной модификации для стран Персидского залива. Это будет первая демонстрация новой модели. Танк оснащен 120-миллиметровой пушкой и оборудованием для работы в жарком климате. 
  ","Sun, 22 Feb 2015 09:57:00 +0300"
